fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
40,000000	1205,491631	164,180370	153,366694	165,185936	182,431923	191,066982	204,136046	223,340816	200,652226	156,812609	227,771457	247,094136	234,787735	232,488018	236,478199	3,342351	214,175494	250,477079	248,925105	272,110418	265,388849	268,146975	307,758228	297,091775	306,651084	316,009975	324,195609	306,973772	297,959494	344,647547	348,912518
41,000000	1205,491631	165,788739	154,649150	166,378433	184,038060	192,349706	205,424728	224,731265	201,924620	159,121566	229,298834	248,986332	236,001941	233,369556	237,814079	3,364988	213,606100	251,397237	249,780851	272,383887	266,103749	268,933346	308,478888	297,819070	307,301958	316,587866	324,586874	307,455788	298,389682	345,161959	349,402804
42,000000	1205,491631	166,942033	155,577407	167,242713	185,239991	193,308706	206,407725	225,771610	202,856146	161,284869	230,449664	250,549142	236,949602	234,023755	238,817230	3,379411	213,155511	252,062548	250,344865	272,640854	266,542588	269,432960	309,004958	297,832864	307,474163	316,722408	324,855469	307,542721	298,540185	345,132278	349,088333
43,000000	1205,491631	161,600390	147,129097	160,550396	180,674850	187,297624	200,822638	222,536092	199,745693	161,614921	229,465928	250,411716	236,272026	231,821139	237,963416	3,371996	212,592339	251,175871	249,220388	272,504768	265,742197	268,674888	308,869510	295,916989	306,376948	315,863791	324,604906	307,001105	298,229123	344,676058	348,643962
44,000000	1205,491631	157,423602	144,999669	157,378424	176,775966	183,969425	197,694241	218,785009	195,962263	160,533029	226,934494	248,625132	234,373844	228,643208	235,674472	3,337346	211,763534	248,747674	246,892386	271,725024	263,747932	266,644037	307,802879	294,183546	304,553617	314,342833	323,684404	305,717876	297,283627	343,693099	347,649717
45,000000	1205,491631	156,347226	144,836681	156,920355	175,773858	183,558504	197,247282	217,260242	194,672255	160,158124	225,380195	247,334778	233,117179	227,479290	234,361047	3,313632	210,898213	247,334485	245,790403	271,066534	262,603890	265,327132	306,783800	293,521315	303,705145	313,577115	322,775558	304,783752	296,431358	342,898187	347,021601
46,000000	1205,491631	156,749405	145,884330	157,595616	176,085463	184,171765	197,814260	217,045879	194,642284	160,325492	224,718971	246,658458	232,504479	227,276797	233,849072	3,307666	210,114111	246,776898	245,500282	270,662224	262,145597	264,795904	306,044288	293,205611	303,365407	313,256870	322,142768	304,291015	295,861614	342,421701	346,434681
47,000000	1205,491631	159,704530	149,752823	160,896343	178,616082	187,169455	200,619533	218,538142	196,428162	161,279088	225,228104	246,852921	232,783185	228,358116	234,350602	3,310960	209,497771	247,224634	246,088114	270,538853	262,446372	265,025904	305,749599	294,025074	303,790012	313,495126	321,877512	304,319681	295,729013	342,399523	346,573488
48,000000	1205,491631	162,942127	152,676593	163,790608	181,498211	189,952966	203,244461	220,858678	198,791059	162,744310	226,605341	247,851813	233,792728	230,081076	235,572254	3,331324	209,129464	248,430711	247,204198	270,727321	263,324734	265,897982	306,095107	295,152516	304,650823	314,122524	322,059146	304,753152	295,978526	342,758256	347,095204
49,000000	1205,491631	165,359495	154,736260	165,860158	183,748887	192,056821	205,305297	223,091595	200,919598	164,443942	228,247423	249,263089	235,120775	232,042208	237,215883	3,353242	208,982194	250,182600	248,897036	271,616652	265,077677	267,800475	307,300011	300,624204	307,728812	316,600844	323,274422	307,515507	298,815644	346,465848	352,548459
50,000000	1205,491631	168,010267	158,596349	169,866190	187,762995	197,193161	211,829206	227,543408	206,451441	167,669730	232,518527	252,821026	241,036858	240,449363	243,621277	3,438259	209,630291	259,401948	257,499220	278,352114	275,568636	278,308277	314,581246	323,561132	326,778887	331,985564	331,369357	325,059260	317,607335	369,784023	380,005136
51,000000	1205,491469	170,999108	162,480939	174,404800	193,071604	203,378078	218,518126	234,216550	214,292248	172,754039	239,555762	258,802750	250,656907	251,823590	254,047176	3,589478	211,226940	272,864823	270,760662	285,968982	290,377829	293,137420	326,304572	339,906314	344,982020	349,402470	344,188859	344,101233	337,559916	390,302638	400,304072
52,000000	1205,491534	173,347229	165,106608	177,590521	197,266079	207,709521	222,943311	240,306943	220,605316	178,408098	246,671538	265,502506	259,347446	260,554145	264,044527	3,742480	213,467867	283,723824	282,333269	293,536938	302,263282	305,577612	338,086005	349,242328	356,032477	361,954159	357,367922	356,875532	350,936163	402,397651	411,705823
53,000000	1205,491573	174,975966	166,965436	179,776276	200,179499	210,626315	226,126042	244,960144	225,015573	183,804244	252,641320	271,861549	265,936943	266,763302	272,034816	3,862540	215,975192	291,562203	291,001781	301,382042	311,048659	315,162729	348,477535	361,320177	365,762183	372,049093	369,489277	367,660723	362,846190	414,855293	425,931049
54,000000	1205,491596	177,194167	170,825202	184,036492	204,764720	216,596528	233,616366	251,252656	232,431809	190,144823	260,282311	281,203292	275,764452	278,386177	283,188495	4,020726	219,328400	305,520030	305,057691	319,246074	327,046805	332,004312	363,257951	386,417162	389,575781	391,756454	386,821698	390,908956	388,661391	443,633467	457,464566
